Estación: ,C19065,SANTIAGO. SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 56' 00

Fecha,Valor,NúmDatos
1957-05-19,0,CLIC
1957-05-20,0,CLIC
1957-05-21,0,CLIC
1957-05-22,0,CLIC
1957-05-23,0,CLIC
1957-05-24,0,CLIC
1957-05-25,0,CLIC
1957-05-26,3,CLIC
1957-05-27,98.5,CLIC
1957-05-28,0,CLIC
1957-05-29,0,CLIC
1957-05-30,0,CLIC
1957-05-31,1,CLIC
1957-06-01,6,CLIC
1957-06-02,0,CLIC
1957-06-03,2,CLIC
1957-06-04,1,CLIC
1957-06-05,1,CLIC
1957-06-06,0,CLIC
1957-06-07,0,CLIC
1957-06-08,0,CLIC
1957-06-09,0,CLIC
1957-06-10,0,CLIC
1957-06-11,0,CLIC
1957-06-12,0,CLIC
1957-06-13,0,CLIC
1957-06-14,0,CLIC
1957-06-15,0,CLIC
1957-06-16,0,CLIC
1957-06-17,4.3,CLIC
1957-06-18,3.5,CLIC
1957-06-19,2.6,CLIC
1957-06-20,0,CLIC
1957-06-21,1,CLIC
1957-06-22,27.3,CLIC
1957-06-23,2.6,CLIC
1957-06-24,19,CLIC
1957-06-25,0,CLIC
1957-06-26,0,CLIC
1957-06-27,0,CLIC
1957-06-28,0,CLIC
1957-06-29,0,CLIC
1957-06-30,0,CLIC
1957-07-01,0,CLIC
1957-07-02,0,CLIC
1957-07-03,0,CLIC
1957-07-04,0,CLIC
1957-07-05,0,CLIC
1957-07-06,0,CLIC
1957-07-07,0,CLIC
1957-07-08,2.2,CLIC
1957-07-09,0,CLIC
1957-07-10,0,CLIC
1957-07-11,0,CLIC
1957-07-12,0,CLIC
1957-07-13,0,CLIC
1957-07-14,0,CLIC
1957-07-15,0,CLIC
1957-07-16,0,CLIC
1957-07-17,0,CLIC
1957-07-18,0,CLIC
1957-07-19,0,CLIC
1957-07-20,0,CLIC
1957-07-21,0,CLIC
1957-07-22,0,CLIC
1957-07-23,0,CLIC
1957-07-24,0,CLIC
1957-07-25,0,CLIC
1957-07-26,0,CLIC
1957-07-27,0,CLIC
1957-07-28,0,CLIC
1957-07-29,0,CLIC
1957-07-30,0,CLIC
1957-07-31,0,CLIC
1957-08-01,0,CLIC
1957-08-02,0,CLIC
1957-08-03,0,CLIC
1957-08-04,0,CLIC
1957-08-05,0,CLIC
1957-08-06,0,CLIC
1957-08-07,0,CLIC
1957-08-08,0,CLIC
1957-08-09,0,CLIC
1957-08-10,0,CLIC
1957-08-11,0,CLIC
1957-08-12,0,CLIC
1957-08-13,0,CLIC
1957-08-14,0,CLIC
1957-08-15,0,CLIC
1957-08-16,25,CLIC
1957-08-17,0,CLIC
1957-08-18,0,CLIC
1957-08-19,2.8,CLIC
1957-08-20,1.5,CLIC
1957-08-21,52.5,CLIC
1957-08-22,0,CLIC
1957-08-23,0,CLIC
1957-08-24,0,CLIC
1957-08-25,0,CLIC
1957-08-26,0,CLIC
1957-08-27,0,CLIC
1957-08-28,36,CLIC
1957-08-29,2.9,CLIC
1957-08-30,0,CLIC
1957-08-31,0,CLIC
1957-09-01,0,CLIC
1957-09-02,0,CLIC
1957-09-03,0,CLIC
1957-09-04,6,CLIC
1957-09-05,0,CLIC
1957-09-06,0,CLIC
1957-09-07,13.3,CLIC
1957-09-08,0,CLIC
1957-09-09,0,CLIC
1957-09-10,6.3,CLIC
1957-09-11,0,CLIC
1957-09-12,0,CLIC
1957-09-13,0,CLIC
1957-09-14,0,CLIC
1957-09-15,0,CLIC
1957-09-16,28,CLIC
1957-09-17,0,CLIC
1957-09-18,0,CLIC
1957-09-19,0,CLIC
1957-09-20,0,CLIC
1957-09-21,8,CLIC
1957-09-22,28,CLIC
1957-09-23,0,CLIC
1957-09-24,0,CLIC
1957-09-25,0,CLIC
1957-09-26,0.9,CLIC
1957-09-27,0,CLIC
1957-09-28,0,CLIC
1957-09-29,0,CLIC
1957-09-30,0,CLIC
1957-10-01,0,CLIC
1957-10-02,0,CLIC
1957-10-03,0,CLIC
1957-10-04,0,CLIC
1957-10-05,0,CLIC
1957-10-06,0,CLIC
1957-10-07,0,CLIC
1957-10-08,0.4,CLIC
1957-10-09,21.3,CLIC
1957-10-10,37.5,CLIC
1957-10-11,5.1,CLIC
1957-10-12,0,CLIC
1957-10-13,0,CLIC
1957-10-14,0,CLIC
1957-10-15,0,CLIC
1957-10-16,0.5,CLIC
1957-10-17,109,CLIC
1957-10-18,51.1,CLIC
1957-10-19,33.9,CLIC
1957-10-20,9.1,CLIC
1957-10-21,1.8,CLIC
1957-10-22,0,CLIC
1957-10-23,0,CLIC
1957-10-24,0,CLIC
1957-10-25,12.5,CLIC
1957-10-26,2.6,CLIC
1957-10-27,0,CLIC
1957-10-28,0,CLIC
1957-10-29,0,CLIC
1957-10-30,0,CLIC
1957-10-31,0,CLIC
1957-11-01,0,CLIC
1957-11-02,0,CLIC
1957-11-03,0,CLIC
1957-11-04,0,CLIC
1957-11-05,0.7,CLIC
1957-11-06,1.1,CLIC
1957-11-07,0,CLIC
1957-11-08,0,CLIC
1957-11-09,1.3,CLIC
1957-11-10,2.2,CLIC
1957-11-11,0.8,CLIC
1957-11-12,0.2,CLIC
1957-11-13,0,CLIC
1957-11-14,0,CLIC
1957-11-15,0,CLIC
1957-11-16,0,CLIC
1957-11-17,0,CLIC
1957-11-18,0,CLIC
1957-11-19,0,CLIC
1957-11-20,0,CLIC
1957-11-21,2.9,CLIC
1957-11-22,3.1,CLIC
1957-11-23,0,CLIC
1957-11-24,0,CLIC
1957-11-25,0,CLIC
1957-11-26,0,CLIC
1957-11-27,0,CLIC
1957-11-28,0,CLIC
1957-11-29,0,CLIC
1957-11-30,0,CLIC
1957-12-01,0,CLIC
1957-12-02,0,CLIC
1957-12-03,0,CLIC
1957-12-04,0,CLIC
1957-12-05,0,CLIC
1957-12-06,5.5,CLIC
1957-12-07,0,CLIC
1957-12-08,0,CLIC
1957-12-09,0,CLIC
1957-12-10,0,CLIC
1957-12-11,0,CLIC
1957-12-12,0,CLIC
1957-12-13,0,CLIC
1957-12-14,0,CLIC
1957-12-15,0,CLIC
1957-12-16,0,CLIC
1957-12-17,0,CLIC
1957-12-18,0,CLIC
1957-12-19,0,CLIC
1957-12-20,0,CLIC
1957-12-21,0,CLIC
1957-12-22,4.1,CLIC
1957-12-23,2,CLIC
1957-12-24,0,CLIC
1957-12-25,4.1,CLIC
1957-12-26,2,CLIC
1957-12-27,0,CLIC
1957-12-28,0,CLIC
1957-12-29,0,CLIC
1957-12-30,0,CLIC
1957-12-31,8.1,CLIC
1958-01-01,0,CLIC
1958-01-02,0,CLIC
1958-01-03,12,CLIC
1958-01-04,0,CLIC
1958-01-05,9.5,CLIC
1958-01-06,0,CLIC
1958-01-07,0,CLIC
1958-01-08,0,CLIC
1958-01-09,0,CLIC
1958-01-10,0,CLIC
1958-01-11,0.9,CLIC
1958-01-12,0,CLIC
1958-01-13,1,CLIC
1958-01-14,0,CLIC
1958-01-15,0,CLIC
1958-01-16,0,CLIC
1958-01-17,1.5,CLIC
1958-01-18,0,CLIC
1958-01-19,0,CLIC
1958-01-20,0,CLIC
1958-01-21,0,CLIC
1958-01-22,0,CLIC
1958-01-23,0,CLIC
1958-01-24,0,CLIC
1958-01-25,0,CLIC
1958-01-26,0,CLIC
1958-01-27,0,CLIC
1958-01-28,0,CLIC
1958-01-29,0,CLIC
1958-01-30,0,CLIC
1958-01-31,0,CLIC
1958-02-01,0,CLIC
1958-02-02,0,CLIC
1958-02-03,0,CLIC
1958-02-04,0,CLIC
1958-02-05,0,CLIC
1958-02-06,0,CLIC
1958-02-07,0,CLIC
1958-02-08,0,CLIC
1958-02-09,0,CLIC
1958-02-10,0,CLIC
1958-02-11,2.5,CLIC
1958-02-12,1,CLIC
1958-02-13,0,CLIC
1958-02-14,0,CLIC
1958-02-15,0,CLIC
1958-02-16,0,CLIC
1958-02-17,0,CLIC
1958-02-18,0,CLIC
1958-02-19,4.2,CLIC
1958-02-20,5,CLIC
1958-02-21,2.8,CLIC
1958-02-22,0,CLIC
1958-02-23,3.5,CLIC
1958-02-24,0,CLIC
1958-02-25,0,CLIC
1958-02-26,0,CLIC
1958-02-27,0,CLIC
1958-02-28,0,CLIC
1958-03-01,0,CLIC
1958-03-02,0,CLIC
1958-03-03,0.5,CLIC
1958-03-04,0,CLIC
1958-03-05,0,CLIC
1958-03-06,0,CLIC
1958-03-07,0,CLIC
1958-03-08,0,CLIC
1958-03-09,0,CLIC
1958-03-10,2.5,CLIC
1958-03-11,1.8,CLIC
1958-03-12,0,CLIC
1958-03-13,0,CLIC
1958-03-14,0,CLIC
1958-03-15,0,CLIC
1958-03-16,0,CLIC
1958-03-17,0,CLIC
1958-03-18,0,CLIC
1958-03-19,0,CLIC
1958-03-20,0,CLIC
1958-03-21,0,CLIC
1958-03-22,0,CLIC
1958-03-23,0,CLIC
1958-03-24,0,CLIC
1958-03-25,0,CLIC
1958-03-26,0,CLIC
1958-03-27,0,CLIC
1958-03-28,0,CLIC
1958-03-29,0,CLIC
1958-03-30,0,CLIC
1958-03-31,0,CLIC
1958-04-01,0,CLIC
1958-04-02,0,CLIC
1958-04-03,0,CLIC
1958-04-04,0,CLIC
1958-04-05,0,CLIC
1958-04-06,0,CLIC
1958-04-07,0,CLIC
1958-04-08,0,CLIC
1958-04-09,0,CLIC
1958-04-10,0,CLIC
1958-04-11,0,CLIC
1958-04-12,2.5,CLIC
1958-04-13,2.5,CLIC
1958-04-14,0,CLIC
1958-04-15,0,CLIC
1958-04-16,0,CLIC
1958-04-17,0.5,CLIC
1958-04-18,0,CLIC
1958-04-19,0,CLIC
1958-04-20,0,CLIC
1958-04-21,0,CLIC
1958-04-22,0,CLIC
1958-04-23,0,CLIC
1958-04-24,0,CLIC
1958-04-25,0.8,CLIC
1958-04-26,0.2,CLIC
1958-04-27,0,CLIC
1958-04-28,0,CLIC
1958-04-29,0,CLIC
1958-04-30,0.6,CLIC
1958-05-01,0.8,CLIC
1958-05-02,0.6,CLIC
1958-05-03,3.9,CLIC
1958-05-04,1.7,CLIC
1958-05-05,0,CLIC
1958-05-06,0,CLIC
1958-05-07,0,CLIC
1958-05-08,0,CLIC
1958-05-09,0,CLIC
1958-05-10,0,CLIC
1958-05-11,0,CLIC
1958-05-12,0,CLIC
1958-05-13,12.8,CLIC
1958-05-14,3.5,CLIC
1958-05-15,12.5,CLIC
1958-05-16,3.4,CLIC
1958-05-17,5.6,CLIC
1958-05-18,16.1,CLIC
1958-05-19,0,CLIC
1958-05-20,1.2,CLIC
1958-05-21,0,CLIC
1958-05-22,0,CLIC
1958-05-23,0,CLIC
1958-05-24,0,CLIC
1958-05-25,0,CLIC
1958-05-26,0,CLIC
1958-05-27,0,CLIC
1958-05-28,0,CLIC
1958-05-29,0,CLIC
1958-05-30,0,CLIC
1958-05-31,0,CLIC
1958-06-01,0,CLIC
1958-06-02,0,CLIC
1958-06-03,6,CLIC
1958-06-04,10.5,CLIC
1958-06-05,5,CLIC
1958-06-06,0,CLIC
1958-06-07,0,CLIC
1958-06-08,0,CLIC
1958-06-09,0,CLIC
1958-06-10,0,CLIC
1958-06-11,0,CLIC
1958-06-12,0,CLIC
1958-06-13,0,CLIC
1958-06-14,17.5,CLIC
1958-06-15,0,CLIC
1958-06-16,61,CLIC
1958-06-17,92,CLIC
1958-06-18,0.5,CLIC
1958-06-19,0,CLIC
1958-06-20,0,CLIC
1958-06-21,0,CLIC
1958-06-22,23.5,CLIC
1958-06-23,2.1,CLIC
1958-06-24,0,CLIC
1958-06-25,0,CLIC
1958-06-26,26.5,CLIC
1958-06-27,44.2,CLIC
1958-06-28,0.4,CLIC
1958-06-29,0,CLIC
1958-06-30,0.8,CLIC
1958-07-01,0.5,CLIC
1958-07-02,0,CLIC
1958-07-03,0,CLIC
1958-07-04,0,CLIC
1958-07-05,0,CLIC
1958-07-06,0,CLIC
1958-07-07,86,CLIC
1958-07-08,7.5,CLIC
1958-07-09,8.5,CLIC
1958-07-10,6.2,CLIC
1958-07-11,0,CLIC
1958-07-12,0,CLIC
1958-07-13,0,CLIC
1958-07-14,0,CLIC
1958-07-15,0,CLIC
1958-07-16,0,CLIC
1958-07-17,0,CLIC
1958-07-18,0,CLIC
1958-07-19,0,CLIC
1958-07-20,0,CLIC
1958-07-21,0,CLIC
1958-07-22,0,CLIC
1958-07-23,0,CLIC
1958-07-24,0,CLIC
1958-07-25,0,CLIC
1958-07-26,0,CLIC
1958-07-27,0,CLIC
1958-07-28,0,CLIC
1958-07-29,0,CLIC
1958-07-30,0,CLIC
1958-07-31,0,CLIC
1958-08-01,0,CLIC
1958-08-02,0,CLIC
1958-08-03,0,CLIC
1958-08-04,0,CLIC
1958-08-05,0,CLIC
1958-08-06,0,CLIC
1958-08-07,0,CLIC
1958-08-08,0,CLIC
1958-08-09,0,CLIC
1958-08-10,0,CLIC
1958-08-11,25.8,CLIC
1958-08-12,0,CLIC
1958-08-13,0,CLIC
1958-08-14,2.6,CLIC
1958-08-15,7.5,CLIC
1958-08-16,0,CLIC
1958-08-17,0,CLIC
1958-08-18,32.5,CLIC
1958-08-19,0,CLIC
1958-08-20,0,CLIC
1958-08-21,0,CLIC
1958-08-22,0,CLIC
1958-08-23,0,CLIC
1958-08-24,32.5,CLIC
1958-08-25,60.2,CLIC
1958-08-26,0,CLIC
1958-08-27,0,CLIC
1958-08-28,0,CLIC
1958-08-29,0,CLIC
1958-08-30,0,CLIC
1958-08-31,0,CLIC
1958-09-01,0,CLIC
1958-09-02,0,CLIC
1958-09-03,0,CLIC
1958-09-04,2,CLIC
1958-09-05,3.2,CLIC
1958-09-06,18.9,CLIC
1958-09-07,39.5,CLIC
1958-09-08,55.5,CLIC
1958-09-09,10,CLIC
1958-09-10,0,CLIC
1958-09-11,6,CLIC
1958-09-12,0,CLIC
1958-09-13,0.5,CLIC
1958-09-14,0,CLIC
1958-09-15,0,CLIC
1958-09-16,24,CLIC
1958-09-17,80,CLIC
1958-09-18,13.5,CLIC
1958-09-19,0,CLIC
1958-09-20,1.5,CLIC
1958-09-21,29,CLIC
1958-09-22,0,CLIC
1958-09-23,0,CLIC
1958-09-24,0,CLIC
1958-09-25,1,CLIC
1958-09-26,19.5,CLIC
1958-09-27,6,CLIC
1958-09-28,196,CLIC
1958-09-29,0,CLIC
1958-09-30,7.5,CLIC
1958-10-01,4,CLIC
1958-10-02,1.3,CLIC
1958-10-03,2.3,CLIC
1958-10-04,0.4,CLIC
1958-10-05,0,CLIC
1958-10-06,0,CLIC
1958-10-07,2.5,CLIC
1958-10-08,0,CLIC
1958-10-09,0.5,CLIC
1958-10-10,46,CLIC
1958-10-11,31,CLIC
1958-10-12,156.5,CLIC
1958-10-13,20,CLIC
1958-10-14,65.2,CLIC
1958-10-15,35,CLIC
1958-10-16,26.2,CLIC
1958-10-17,4.3,CLIC
1958-10-18,0.5,CLIC
1958-10-19,0,CLIC
1958-10-20,0,CLIC
1958-10-21,1,CLIC
1958-10-22,7.1,CLIC
1958-10-23,1.2,CLIC
1958-10-24,0,CLIC
1958-10-25,28.5,CLIC
1958-10-26,1.5,CLIC
1958-10-27,24.5,CLIC
1958-10-28,10,CLIC
1958-10-29,14.2,CLIC
1958-10-30,0,CLIC
1958-11-01,0,CLIC
1958-11-02,19.4,CLIC
1958-11-03,1.2,CLIC
1958-11-04,0,CLIC
1958-11-05,0,CLIC
1958-11-06,0,CLIC
1958-11-07,0,CLIC
1958-11-08,0,CLIC
1958-11-09,0,CLIC
1958-11-10,0,CLIC
1958-11-11,0,CLIC
1958-11-12,0,CLIC
1958-11-13,0,CLIC
1958-11-14,0,CLIC
1958-11-15,0,CLIC
1958-11-16,0,CLIC
1958-11-17,0,CLIC
1958-11-18,0,CLIC
1958-11-19,0,CLIC
1958-11-20,0,CLIC
1958-11-21,0,CLIC
1958-11-22,0,CLIC
1958-11-23,0,CLIC
1958-11-24,0,CLIC
1958-11-25,0,CLIC
1958-11-26,0,CLIC
1958-11-27,17,CLIC
1958-11-28,0,CLIC
1958-11-29,0,CLIC
1958-11-30,1.5,CLIC
1958-12-01,0,CLIC
1958-12-02,0,CLIC
1958-12-03,0,CLIC
1958-12-04,0,CLIC
1958-12-05,0,CLIC
1958-12-06,0,CLIC
1958-12-07,0,CLIC
1958-12-08,0,CLIC
1958-12-09,1,CLIC
1958-12-10,1.1,CLIC
1958-12-11,0,CLIC
1958-12-12,0,CLIC
1958-12-13,0.7,CLIC
1958-12-14,0.8,CLIC
1958-12-15,0,CLIC
1958-12-16,0,CLIC
1958-12-17,0,CLIC
1958-12-18,0,CLIC
1958-12-19,0.1,CLIC
1958-12-20,0,CLIC
1958-12-21,1.8,CLIC
1958-12-22,1.9,CLIC
1958-12-23,1,CLIC
1958-12-24,18.5,CLIC
1958-12-25,2.3,CLIC
1958-12-26,0,CLIC
1958-12-27,0,CLIC
1958-12-28,0,CLIC
1958-12-29,0,CLIC
1958-12-30,0,CLIC
1958-12-31,0,CLIC
1959-01-01,0,CLIC
1959-01-02,0,CLIC
1959-01-03,0,CLIC
1959-01-04,0,CLIC
1959-01-05,4.5,CLIC
1959-01-06,0,CLIC
1959-01-07,0,CLIC
1959-01-08,0,CLIC
1959-01-09,0,CLIC
1959-01-10,0,CLIC
1959-01-11,0,CLIC
1959-01-12,0,CLIC
1959-01-13,0,CLIC
1959-01-14,0,CLIC
1959-01-15,0,CLIC
1959-01-16,0,CLIC
1959-01-17,0,CLIC
1959-01-18,0,CLIC
1959-01-19,0,CLIC
1959-01-20,0,CLIC
1959-01-21,0,CLIC
1959-01-22,0,CLIC
1959-01-23,0,CLIC
1959-01-24,0,CLIC
1959-01-25,0,CLIC
1959-01-26,0,CLIC
1959-01-27,2,CLIC
1959-01-28,0,CLIC
1959-01-29,5.7,CLIC
1959-01-30,0,CLIC
1959-01-31,0.2,CLIC
1959-02-01,10.3,CLIC
1959-02-02,4,CLIC
1959-02-03,0.2,CLIC
1959-02-04,0,CLIC
1959-02-05,0,CLIC
1959-02-06,0.7,CLIC
1959-02-07,0,CLIC
1959-02-08,0,CLIC
1959-02-09,0,CLIC
1959-02-10,0,CLIC
1959-02-11,0,CLIC
1959-02-12,0,CLIC
1959-02-13,0,CLIC
1959-02-14,20,CLIC
1959-02-15,2,CLIC
1959-02-16,0,CLIC
1959-02-17,0,CLIC
1959-02-18,0,CLIC
1959-02-19,1.9,CLIC
1959-02-20,1,CLIC
1959-02-21,0,CLIC
1959-02-22,0.8,CLIC
1959-02-23,5.5,CLIC
1959-02-24,6.6,CLIC
1959-02-25,0,CLIC
1959-02-26,0,CLIC
1959-02-27,0,CLIC
1959-03-01,0,CLIC
1959-03-02,0,CLIC
1959-03-03,0,CLIC
1959-03-04,0,CLIC
1959-03-05,0,CLIC
1959-03-06,0,CLIC
1959-03-07,2,CLIC
1959-03-08,0,CLIC
1959-03-09,0,CLIC
1959-03-10,0,CLIC
1959-03-11,0,CLIC
1959-03-12,0,CLIC
1959-03-13,0,CLIC
1959-03-14,0,CLIC
1959-03-15,0,CLIC
1959-03-16,0,CLIC
1959-03-17,0,CLIC
1959-03-18,0,CLIC
1959-03-19,0,CLIC
1959-03-20,0,CLIC
1959-03-21,0,CLIC
1959-03-22,0,CLIC
1959-03-23,0,CLIC
1959-03-24,0,CLIC
1959-03-25,0,CLIC
1959-03-26,2.5,CLIC
1959-03-27,0,CLIC
1959-03-28,0,CLIC
1959-03-29,0,CLIC
1959-03-31,0,CLIC
1959-05-01,0,CLIC
1959-05-02,0,CLIC
1959-05-03,0,CLIC
1959-05-04,0,CLIC
1959-05-05,34.2,CLIC
1959-05-06,1.6,CLIC
1959-05-07,0,CLIC
1959-05-08,0,CLIC
1959-05-09,0,CLIC
1959-05-10,0,CLIC
1959-05-11,10.5,CLIC
1959-05-12,0,CLIC
1959-05-13,0,CLIC
1959-05-14,0,CLIC
1959-05-15,0,CLIC
1959-05-16,1,CLIC
1959-05-17,0,CLIC
1959-05-18,0,CLIC
1959-05-19,0,CLIC
1959-05-20,0,CLIC
1959-05-21,0,CLIC
1959-05-22,0,CLIC
1959-05-23,8.5,CLIC
1959-05-24,0,CLIC
1959-05-25,0,CLIC
1959-05-26,0,CLIC
1959-05-27,0,CLIC
1959-05-28,0,CLIC
1959-05-29,0,CLIC
1959-05-30,0,CLIC
1959-05-31,0,CLIC
1959-06-01,0,CLIC
1959-06-02,0,CLIC
1959-06-03,0,CLIC
1959-06-04,0,CLIC
1959-06-05,15.8,CLIC
1959-06-06,29.3,CLIC
1959-06-07,0,CLIC
1959-06-08,0,CLIC
1959-06-09,0,CLIC
1959-06-10,0,CLIC
1959-06-11,0,CLIC
1959-06-12,29.9,CLIC
1959-06-13,11.1,CLIC
1959-06-14,13.5,CLIC
1959-06-15,11,CLIC
1959-06-16,9.5,CLIC
1959-06-17,15.3,CLIC
1959-06-18,0,CLIC
1959-06-19,0,CLIC
1959-06-20,0,CLIC
1959-06-21,0,CLIC
1959-06-22,0,CLIC
1959-06-23,0,CLIC
1959-06-24,0,CLIC
1959-06-25,0,CLIC
1959-06-26,0,CLIC
1959-06-27,0,CLIC
1959-06-28,0,CLIC
1959-06-29,0.5,CLIC
1959-06-30,0,CLIC
1959-07-01,0,CLIC
1959-07-02,0,CLIC
1959-07-03,0,CLIC
1959-07-04,0,CLIC
1959-07-05,0,CLIC
1959-07-06,0,CLIC
1959-07-07,0,CLIC
1959-07-08,0,CLIC
1959-07-09,0,CLIC
1959-07-10,0,CLIC
1959-07-11,5,CLIC
1959-07-12,1,CLIC
1959-07-13,0,CLIC
1959-07-14,0,CLIC
1959-07-15,0,CLIC
1959-07-16,0,CLIC
1959-07-17,0,CLIC
1959-07-18,6,CLIC
1959-07-19,12.9,CLIC
1959-07-20,29.8,CLIC
1959-07-21,0,CLIC
1959-07-22,0,CLIC
1959-07-23,0,CLIC
1959-07-24,0,CLIC
1959-07-25,10.5,CLIC
1959-07-26,0,CLIC
1959-07-27,0,CLIC
1959-07-28,35,CLIC
1959-07-29,0,CLIC
1959-07-30,0,CLIC
1959-07-31,10.3,CLIC
1959-08-01,14.3,CLIC
1959-08-02,0,CLIC
1959-08-03,0,CLIC
1959-08-04,0,CLIC
1959-08-05,0,CLIC
1959-08-06,0.3,CLIC
1959-08-07,22,CLIC
1959-08-08,0,CLIC
1959-08-09,0,CLIC
1959-08-10,0,CLIC
1959-08-11,0,CLIC
1959-08-12,0,CLIC
1959-08-13,2,CLIC
1959-08-14,0,CLIC
1959-08-15,0,CLIC
1959-08-16,0,CLIC
1959-08-17,0,CLIC
1959-08-18,0,CLIC
1959-08-19,0,CLIC
1959-08-20,0,CLIC
1959-08-21,8.4,CLIC
1959-08-22,0.7,CLIC
1959-08-23,5.1,CLIC
1959-08-24,3.1,CLIC
1959-08-25,14.1,CLIC
1959-08-26,0,CLIC
1959-08-27,0,CLIC
1959-08-28,0,CLIC
1959-08-29,0,CLIC
1959-08-30,0,CLIC
1959-08-31,0,CLIC
1959-09-01,0,CLIC
1959-09-02,0,CLIC
1959-09-03,0,CLIC
1959-09-04,0,CLIC
1959-09-05,0,CLIC
1959-09-06,0,CLIC
1959-09-07,46.5,CLIC
1959-09-08,0,CLIC
1959-09-09,170.5,CLIC
1959-09-10,0.3,CLIC
1959-09-11,4,CLIC
1959-09-12,0,CLIC
1959-09-13,0,CLIC
1959-09-14,0,CLIC
1959-09-15,0,CLIC
1959-09-16,0,CLIC
1959-09-17,0,CLIC
1959-09-18,0,CLIC
1959-09-19,0,CLIC
1959-09-20,0,CLIC
1959-09-21,0,CLIC
1959-09-22,0,CLIC
1959-09-23,0,CLIC
1959-09-24,0,CLIC
1959-09-25,0,CLIC
1959-09-26,9.3,CLIC
1959-09-27,0,CLIC
1959-09-28,15,CLIC
1959-09-29,0,CLIC
1959-09-30,0,CLIC
1959-10-01,0,CLIC
1959-10-02,0,CLIC
1959-10-03,0,CLIC
1959-10-04,65,CLIC
1959-10-05,0,CLIC
1959-10-06,0,CLIC
1959-10-07,0,CLIC
1959-10-08,0,CLIC
1959-10-09,0,CLIC
1959-10-10,0,CLIC
1959-10-11,0,CLIC
1959-10-12,0,CLIC
1959-10-13,19.5,CLIC
1959-10-14,10,CLIC
1959-10-15,0.5,CLIC
1959-10-16,0,CLIC
1959-10-17,0,CLIC
1959-10-18,2.5,CLIC
1959-10-19,0,CLIC
1959-10-20,0,CLIC
1959-10-21,0.3,CLIC
1959-10-22,1.5,CLIC
1959-10-23,0,CLIC
1959-10-24,0,CLIC
1959-10-25,0,CLIC
1959-10-26,19,CLIC
1959-10-27,4.5,CLIC
1959-10-28,0,CLIC
1959-10-29,0,CLIC
1959-10-30,0,CLIC
1959-10-31,0,CLIC
1959-11-01,0,CLIC
1959-11-02,0,CLIC
1959-11-03,0,CLIC
1959-11-04,0,CLIC
1959-11-05,0.9,CLIC
1959-11-06,0,CLIC
1959-11-07,0,CLIC
1959-11-08,0,CLIC
1959-11-09,0,CLIC
1959-11-10,0,CLIC
1959-11-11,0,CLIC
1959-11-12,0,CLIC
1959-11-13,0,CLIC
1959-11-14,1,CLIC
1959-11-15,0,CLIC
1959-11-16,1,CLIC
1959-11-17,0.2,CLIC
1959-11-18,0,CLIC
1959-11-19,0,CLIC
1959-11-20,0,CLIC
1959-11-21,0,CLIC
1959-11-22,0,CLIC
1959-11-23,0,CLIC
1959-11-24,0,CLIC
1959-11-25,0,CLIC
1959-11-26,0,CLIC
1959-11-27,0,CLIC
1959-11-28,0,CLIC
1959-11-29,0,CLIC
1959-11-30,0,CLIC
1960-01-01,0,CLIC
1960-01-02,0,CLIC
1960-01-03,0,CLIC
1960-01-04,0,CLIC
1960-01-05,0,CLIC
1960-01-06,0,CLIC
1960-01-07,0,CLIC
1960-01-08,0,CLIC
1960-01-09,0,CLIC
1960-01-10,0,CLIC
1960-01-11,0,CLIC
1960-01-12,0,CLIC
1960-01-13,0,CLIC
1960-01-14,0,CLIC
1960-01-15,0,CLIC
1960-01-16,0,CLIC
1960-01-17,0,CLIC
1960-01-18,0,CLIC
1960-01-19,0,CLIC
1960-01-20,0,CLIC
1960-01-21,0,CLIC
1960-01-22,0,CLIC
1960-01-23,0.5,CLIC
1960-01-24,1,CLIC
1960-01-25,0,CLIC
1960-01-26,0,CLIC
1960-01-27,0,CLIC
1960-01-28,0,CLIC
1960-01-29,0,CLIC
1960-01-30,0,CLIC
1960-01-31,0,CLIC
1960-02-01,0,CLIC
1960-02-02,0,CLIC
1960-02-03,0,CLIC
1960-02-04,0,CLIC
1960-02-05,0,CLIC
1960-02-06,0,CLIC
1960-02-07,0,CLIC
1960-02-08,0,CLIC
1960-02-09,0,CLIC
1960-02-10,0,CLIC
1960-02-11,22.5,CLIC
1960-02-12,0,CLIC
1960-02-13,0,CLIC
1960-02-14,0,CLIC
1960-02-15,0,CLIC
1960-02-16,0,CLIC
1960-02-17,0,CLIC
1960-02-18,0,CLIC
1960-02-19,0,CLIC
1960-02-20,0,CLIC
1960-02-21,19.5,CLIC
1960-02-22,0,CLIC
1960-02-23,0,CLIC
1960-02-24,0.3,CLIC
1960-02-25,0,CLIC
1960-02-26,0,CLIC
1960-02-27,0,CLIC
1960-02-28,0,CLIC
1960-02-29,3,CLIC
1960-03-01,0.5,CLIC
1960-03-02,1,CLIC
1960-03-03,0,CLIC
1960-03-04,0,CLIC
1960-03-05,0.7,CLIC
1960-03-06,0.5,CLIC
1960-03-07,0.2,CLIC
1960-03-08,0,CLIC
1960-03-09,0,CLIC
1960-03-10,0,CLIC
1960-03-11,16,CLIC
1960-03-12,0.5,CLIC
1960-03-13,0.2,CLIC
1960-03-14,0,CLIC
1960-03-15,0,CLIC
