Estación: ,C19051,POTRERO REDONDO.SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 20' 00

Fecha,Valor,NúmDatos
1969-12-27,0,CLIC
1969-12-28,3,CLIC
1969-12-29,27,CLIC
1969-12-30,0,CLIC
1970-01-01,0,CLIC
1970-01-02,0,CLIC
1970-01-03,0,CLIC
1970-01-04,0,CLIC
1970-01-05,2,CLIC
1970-01-06,3,CLIC
1970-01-07,0,CLIC
1970-01-08,0,CLIC
1970-01-09,0,CLIC
1970-01-10,0,CLIC
1970-01-11,0,CLIC
1970-01-12,0,CLIC
1970-01-13,0,CLIC
1970-01-14,0,CLIC
1970-01-15,0,CLIC
1970-01-16,0,CLIC
1970-01-17,0,CLIC
1970-01-18,5,CLIC
1970-01-19,3,CLIC
1970-01-20,0,CLIC
1970-01-21,0,CLIC
1970-01-22,0,CLIC
1970-01-23,0,CLIC
1970-01-24,0.3,CLIC
1970-01-25,0,CLIC
1970-01-26,0,CLIC
1970-01-27,0,CLIC
1970-01-28,5,CLIC
1970-01-29,0,CLIC
1970-01-30,0,CLIC
1970-01-31,0,CLIC
1970-02-01,0,CLIC
1970-02-02,0,CLIC
1970-02-03,0,CLIC
1970-02-04,0,CLIC
1970-02-05,0,CLIC
1970-02-06,2,CLIC
1970-02-07,15,CLIC
1970-02-08,0,CLIC
1970-02-09,0,CLIC
1970-02-10,0,CLIC
1970-02-11,12,CLIC
1970-02-12,16,CLIC
1970-02-13,0,CLIC
1970-02-14,0,CLIC
1970-02-15,0,CLIC
1970-02-16,0,CLIC
1970-02-17,10,CLIC
1970-02-18,1.2,CLIC
1970-02-19,0,CLIC
1970-02-20,2,CLIC
1970-02-21,6,CLIC
1970-02-22,0,CLIC
1970-02-23,0,CLIC
1970-02-24,0,CLIC
1970-02-25,0,CLIC
1970-02-26,0,CLIC
1970-02-27,0,CLIC
1970-02-28,0,CLIC
1970-03-01,0,CLIC
1970-03-02,0,CLIC
1970-03-03,0,CLIC
1970-03-04,0,CLIC
1970-03-05,0,CLIC
1970-03-06,0,CLIC
1970-03-07,0,CLIC
1970-03-08,0,CLIC
1970-03-09,0,CLIC
1970-03-10,0,CLIC
1970-03-11,3,CLIC
1970-03-12,0,CLIC
1970-03-13,0,CLIC
1970-03-14,0,CLIC
1970-03-15,0,CLIC
1970-03-16,0,CLIC
1970-03-17,0,CLIC
1970-03-18,0,CLIC
1970-03-19,0,CLIC
1970-03-20,0,CLIC
1970-03-21,0,CLIC
1970-03-22,0,CLIC
1970-03-23,0,CLIC
1970-03-24,0,CLIC
1970-03-25,0,CLIC
1970-03-26,0,CLIC
1970-03-27,0,CLIC
1970-03-28,0,CLIC
1970-03-29,0,CLIC
1970-03-30,0,CLIC
1970-03-31,0,CLIC
1970-04-01,0,CLIC
1970-04-02,0,CLIC
1970-04-03,0,CLIC
1970-04-04,0.2,CLIC
1970-04-05,0.3,CLIC
1970-04-06,0,CLIC
1970-04-07,0,CLIC
1970-04-08,0,CLIC
1970-04-09,2,CLIC
1970-04-10,47,CLIC
1970-04-11,0,CLIC
1970-04-12,0,CLIC
1970-04-13,0,CLIC
1970-04-14,0,CLIC
1970-04-15,0,CLIC
1970-04-16,0,CLIC
1970-04-17,0,CLIC
1970-04-18,0,CLIC
1970-04-19,0,CLIC
1970-04-20,0,CLIC
1970-04-21,0,CLIC
1970-04-22,0,CLIC
1970-04-23,0,CLIC
1970-04-24,0,CLIC
1970-04-25,0,CLIC
1970-04-26,2,CLIC
1970-04-27,3,CLIC
1970-04-28,0,CLIC
1970-04-29,0,CLIC
1970-04-30,0,CLIC
1970-05-01,0,CLIC
1970-05-02,8,CLIC
1970-05-03,0,CLIC
1970-05-04,0,CLIC
1970-05-05,0,CLIC
1970-05-06,0,CLIC
1970-05-07,0,CLIC
1970-05-08,0,CLIC
1970-05-09,0,CLIC
1970-05-10,0,CLIC
1970-05-11,0,CLIC
1970-05-12,0,CLIC
1970-05-13,15.8,CLIC
1970-05-14,22,CLIC
1970-05-15,0,CLIC
1970-05-16,0,CLIC
1970-05-17,0,CLIC
1970-05-18,0,CLIC
1970-05-19,0,CLIC
1970-05-20,0,CLIC
1970-05-21,24.5,CLIC
1970-05-22,8.9,CLIC
1970-05-23,0,CLIC
1970-05-24,0,CLIC
1970-05-25,17.3,CLIC
1970-05-26,0,CLIC
1970-05-27,0,CLIC
1970-05-28,0,CLIC
1970-05-29,0,CLIC
1970-05-30,0,CLIC
1970-05-31,0,CLIC
1970-06-01,31.9,CLIC
1970-06-02,0,CLIC
1970-06-03,42.5,CLIC
1970-06-04,12,CLIC
1970-06-05,0,CLIC
1970-06-06,0,CLIC
1970-06-07,0,CLIC
1970-06-08,15.3,CLIC
1970-06-09,0,CLIC
1970-06-10,0,CLIC
1970-06-11,0,CLIC
1970-06-12,0,CLIC
1970-06-13,0,CLIC
1970-06-14,0,CLIC
1970-06-15,0,CLIC
1970-06-16,0,CLIC
1970-06-17,0,CLIC
1970-06-18,0,CLIC
1970-06-19,0,CLIC
1970-06-20,15,CLIC
1970-06-21,0,CLIC
1970-06-22,0,CLIC
1970-06-23,85.4,CLIC
1970-06-24,4,CLIC
1970-06-25,79.2,CLIC
1970-06-26,21.4,CLIC
1970-06-27,2,CLIC
1970-06-28,0,CLIC
1970-06-29,0,CLIC
1970-06-30,0,CLIC
1970-07-01,0,CLIC
1970-07-02,0,CLIC
1970-07-03,0,CLIC
1970-07-04,0,CLIC
1970-07-05,0,CLIC
1970-07-06,0,CLIC
1970-07-07,0,CLIC
1970-07-08,0,CLIC
1970-07-09,0,CLIC
1970-07-10,0,CLIC
1970-07-11,0,CLIC
1970-07-12,0,CLIC
1970-07-13,200.3,CLIC
1970-07-14,28.5,CLIC
1970-07-15,22,CLIC
1970-07-16,47,CLIC
1970-07-17,2.5,CLIC
1970-07-18,1,CLIC
1970-07-19,1,CLIC
1970-07-20,4,CLIC
1970-07-21,0,CLIC
1970-07-22,3,CLIC
1970-07-23,0,CLIC
1970-07-24,0,CLIC
1970-07-25,0,CLIC
1970-07-26,0,CLIC
1970-07-27,0,CLIC
1970-07-28,0,CLIC
1970-07-29,0,CLIC
1970-07-30,0,CLIC
1970-07-31,0,CLIC
1970-08-01,0,CLIC
1970-08-02,0,CLIC
1970-08-03,0,CLIC
1970-08-04,0,CLIC
1970-08-05,6,CLIC
1970-08-06,0,CLIC
1970-08-07,0,CLIC
1970-08-08,0,CLIC
1970-08-09,0,CLIC
1970-08-10,45,CLIC
1970-08-11,0,CLIC
1970-08-12,35,CLIC
1970-08-13,0,CLIC
1970-08-14,0,CLIC
1970-08-15,0,CLIC
1970-08-16,0,CLIC
1970-08-17,0,CLIC
1970-08-18,0,CLIC
1970-08-19,0,CLIC
1970-08-20,0,CLIC
1970-08-21,0,CLIC
1970-08-22,0,CLIC
1970-08-23,0,CLIC
1970-08-24,9,CLIC
1970-08-25,0,CLIC
1970-08-26,0,CLIC
1970-08-27,0,CLIC
1970-08-28,0,CLIC
1970-08-29,0,CLIC
1970-08-30,27,CLIC
1970-08-31,10,CLIC
1970-09-01,0,CLIC
1970-09-02,0,CLIC
1970-09-03,0,CLIC
1970-09-04,6,CLIC
1970-09-05,0,CLIC
1970-09-06,0,CLIC
1970-09-07,0,CLIC
1970-09-08,75,CLIC
1970-09-09,0,CLIC
1970-09-10,110,CLIC
1970-09-11,0,CLIC
1970-09-12,0,CLIC
1970-09-13,0,CLIC
1970-09-14,0,CLIC
1970-09-15,0,CLIC
1970-09-16,0,CLIC
1970-09-17,0,CLIC
1970-09-18,0,CLIC
1970-09-19,0,CLIC
1970-09-20,0,CLIC
1970-09-21,0,CLIC
1970-09-22,35,CLIC
1970-09-23,40,CLIC
1970-09-24,20,CLIC
1970-09-25,0,CLIC
1970-09-26,0,CLIC
1970-09-27,6,CLIC
1970-09-28,0,CLIC
1970-09-29,0,CLIC
1970-09-30,0,CLIC
1970-10-01,0,CLIC
1970-10-02,0,CLIC
1970-10-03,0,CLIC
1970-10-04,12,CLIC
1970-10-05,0,CLIC
1970-10-06,0,CLIC
1970-10-07,0,CLIC
1970-10-08,0,CLIC
1970-10-09,0,CLIC
1970-10-10,0,CLIC
1970-10-11,0,CLIC
1970-10-12,0,CLIC
1970-10-13,0,CLIC
1970-10-14,0,CLIC
1970-10-15,8,CLIC
1970-10-16,5,CLIC
1970-10-17,2,CLIC
1970-10-18,1,CLIC
1970-10-19,0,CLIC
1970-10-20,0,CLIC
1970-10-21,0,CLIC
1970-10-22,0,CLIC
1970-10-23,0,CLIC
1970-10-24,0,CLIC
1970-10-25,0,CLIC
1970-10-26,0,CLIC
1970-10-27,1,CLIC
1970-10-28,0,CLIC
1970-10-29,0,CLIC
1970-10-30,0,CLIC
1970-10-31,0,CLIC
1970-11-01,0,CLIC
1970-11-02,0,CLIC
1970-11-03,0,CLIC
1970-11-04,0,CLIC
1970-11-05,0,CLIC
1970-11-06,0,CLIC
1970-11-07,0,CLIC
1970-11-08,0,CLIC
1970-11-09,0,CLIC
1970-11-10,0,CLIC
1970-11-11,0,CLIC
1970-11-12,0,CLIC
1970-11-13,0,CLIC
1970-11-14,0,CLIC
1970-11-15,0,CLIC
1970-11-16,0,CLIC
1970-11-17,0,CLIC
1970-11-18,0,CLIC
1970-11-19,0,CLIC
1970-11-20,0,CLIC
1970-11-21,0,CLIC
1970-11-22,0,CLIC
1970-11-23,0,CLIC
1970-11-24,0,CLIC
1970-11-25,0,CLIC
1970-11-26,0,CLIC
1970-11-27,0,CLIC
1970-11-28,0,CLIC
1970-11-29,0,CLIC
1970-11-30,0,CLIC
1970-12-01,0,CLIC
1970-12-02,0,CLIC
1970-12-03,0,CLIC
1970-12-04,0,CLIC
1970-12-05,1,CLIC
1970-12-06,1,CLIC
1970-12-07,5,CLIC
1970-12-08,0,CLIC
1970-12-09,0,CLIC
1970-12-10,0,CLIC
1970-12-11,0,CLIC
1970-12-12,0,CLIC
1970-12-13,0,CLIC
1970-12-14,0,CLIC
1970-12-15,0,CLIC
1970-12-16,0,CLIC
1970-12-17,2,CLIC
1970-12-18,0,CLIC
1970-12-19,5,CLIC
1970-12-20,0,CLIC
1970-12-21,0,CLIC
1970-12-22,0,CLIC
1970-12-23,0,CLIC
1970-12-24,5,CLIC
1970-12-25,8,CLIC
1970-12-26,0,CLIC
1970-12-27,0,CLIC
1970-12-28,0,CLIC
1970-12-29,0,CLIC
1970-12-30,0,CLIC
1970-12-31,0,CLIC
1971-02-01,0,CLIC
1971-02-02,0,CLIC
1971-02-03,0,CLIC
1971-02-04,0,CLIC
1971-02-05,0,CLIC
1971-02-06,0,CLIC
1971-02-07,0,CLIC
1971-02-08,0,CLIC
1971-02-09,0,CLIC
1971-02-10,0,CLIC
1971-02-11,0,CLIC
1971-02-12,0,CLIC
1971-02-13,0,CLIC
1971-02-14,0,CLIC
1971-02-15,0,CLIC
1971-02-16,0,CLIC
1971-02-17,0,CLIC
1971-02-18,0,CLIC
1971-02-19,0,CLIC
1971-02-20,0,CLIC
1971-02-21,0,CLIC
1971-02-22,0,CLIC
1971-02-23,0,CLIC
1971-02-24,0,CLIC
1971-02-25,0,CLIC
1971-02-26,0,CLIC
1971-02-27,0,CLIC
1971-02-28,0,CLIC
1971-03-01,0,CLIC
1971-03-02,0,CLIC
1971-03-03,0,CLIC
1971-03-04,0,CLIC
1971-03-05,0,CLIC
1971-03-06,0,CLIC
1971-03-07,0,CLIC
1971-03-08,0,CLIC
1971-03-09,0,CLIC
1971-03-10,0,CLIC
1971-03-11,0,CLIC
1971-03-12,0,CLIC
1971-03-13,0,CLIC
1971-03-14,0,CLIC
1971-03-15,0,CLIC
1971-03-16,0,CLIC
1971-03-17,0,CLIC
1971-03-18,0,CLIC
1971-03-19,0,CLIC
1971-03-20,0,CLIC
1971-03-21,0,CLIC
1971-03-22,0,CLIC
1971-03-23,0,CLIC
1971-03-24,0,CLIC
1971-03-25,0,CLIC
1971-03-26,0,CLIC
1971-03-27,0,CLIC
1971-03-28,3,CLIC
1971-03-29,0,CLIC
1971-03-30,0,CLIC
1971-03-31,0,CLIC
1971-04-01,0,CLIC
1971-04-02,3,CLIC
1971-04-03,0,CLIC
1971-04-04,20,CLIC
1971-04-05,22,CLIC
1971-04-06,0,CLIC
1971-04-07,0,CLIC
1971-04-08,0,CLIC
1971-04-09,0,CLIC
1971-04-10,0,CLIC
1971-04-11,0,CLIC
1971-04-12,0,CLIC
1971-04-13,0,CLIC
1971-04-14,0,CLIC
1971-04-15,0,CLIC
1971-04-16,0,CLIC
1971-04-17,0,CLIC
1971-04-18,0,CLIC
1971-04-19,0,CLIC
1971-04-20,0,CLIC
1971-04-21,0,CLIC
1971-04-22,0,CLIC
1971-04-23,0,CLIC
1971-04-24,0,CLIC
1971-04-25,0,CLIC
1971-04-26,0,CLIC
1971-04-27,0,CLIC
1971-04-28,0,CLIC
1971-04-29,0,CLIC
1971-04-30,0,CLIC
1971-05-01,0,CLIC
1971-05-02,0,CLIC
1971-05-03,0,CLIC
1971-05-04,0,CLIC
1971-05-05,0,CLIC
1971-05-06,0,CLIC
1971-05-07,0,CLIC
1971-05-08,0,CLIC
1971-05-09,2,CLIC
1971-05-10,0,CLIC
1971-05-11,0,CLIC
1971-05-12,29,CLIC
1971-05-13,8,CLIC
1971-05-14,0,CLIC
1971-05-15,0,CLIC
1971-05-16,0,CLIC
1971-05-17,0,CLIC
1971-05-18,0,CLIC
1971-05-19,20,CLIC
1971-05-20,0,CLIC
1971-05-21,0,CLIC
1971-05-22,0,CLIC
1971-05-23,2,CLIC
1971-05-24,0,CLIC
1971-05-25,0,CLIC
1971-05-26,0,CLIC
1971-05-27,0,CLIC
1971-05-28,0,CLIC
1971-05-29,0,CLIC
1971-05-30,4,CLIC
1971-05-31,0,CLIC
1971-06-01,0,CLIC
1971-06-02,0,CLIC
1971-06-03,0,CLIC
1971-06-04,0,CLIC
1971-06-05,0,CLIC
1971-06-06,0,CLIC
1971-06-07,0,CLIC
1971-06-08,0,CLIC
1971-06-09,0,CLIC
1971-06-10,0,CLIC
1971-06-11,0,CLIC
1971-06-12,0,CLIC
1971-06-13,0,CLIC
1971-06-14,20,CLIC
1971-06-15,11,CLIC
1971-06-16,0,CLIC
1971-06-17,0,CLIC
1971-06-18,8,CLIC
1971-06-19,8,CLIC
1971-06-20,43,CLIC
1971-06-21,0,CLIC
1971-06-22,20,CLIC
1971-06-23,0,CLIC
1971-06-24,30,CLIC
1971-06-25,35,CLIC
1971-06-26,12,CLIC
1971-06-27,0,CLIC
1971-06-28,16,CLIC
1971-06-29,7,CLIC
1971-06-30,0,CLIC
1971-07-01,0,CLIC
1971-07-02,0,CLIC
1971-07-03,0,CLIC
1971-07-04,0,CLIC
1971-07-05,0,CLIC
1971-07-06,0,CLIC
1971-07-07,0,CLIC
1971-07-08,0,CLIC
1971-07-09,22,CLIC
1971-07-10,27,CLIC
1971-07-11,0,CLIC
1971-07-12,0,CLIC
1971-07-13,0,CLIC
1971-07-14,0,CLIC
1971-07-15,0,CLIC
1971-07-16,0,CLIC
1971-07-17,0,CLIC
1971-07-18,0,CLIC
1971-07-19,0,CLIC
1971-07-20,0,CLIC
1971-07-21,0,CLIC
1971-07-22,0,CLIC
1971-07-23,0,CLIC
1971-07-24,0,CLIC
1971-07-25,0,CLIC
1971-07-26,0,CLIC
1971-07-27,0,CLIC
1971-07-28,0,CLIC
1971-07-29,16,CLIC
1971-07-30,20,CLIC
1971-07-31,0,CLIC
1971-08-01,0,CLIC
1971-08-02,28,CLIC
1971-08-03,25,CLIC
1971-08-04,10,CLIC
1971-08-05,9,CLIC
1971-08-06,12,CLIC
1971-08-07,12,CLIC
1971-08-08,0,CLIC
1971-08-09,0,CLIC
1971-08-10,0,CLIC
1971-08-11,5,CLIC
1971-08-12,0,CLIC
1971-08-13,21,CLIC
1971-08-14,0,CLIC
1971-08-15,0,CLIC
1971-08-16,0,CLIC
1971-08-17,32,CLIC
1971-08-18,0,CLIC
1971-08-19,0,CLIC
1971-08-20,0,CLIC
1971-08-21,0,CLIC
1971-08-22,0,CLIC
1971-08-23,0,CLIC
1971-08-24,0,CLIC
1971-08-25,0,CLIC
1971-08-26,0,CLIC
1971-08-27,63,CLIC
1971-08-28,0,CLIC
1971-08-29,0,CLIC
1971-08-30,0,CLIC
1971-08-31,0,CLIC
1971-09-01,0,CLIC
1971-09-02,0,CLIC
1971-09-03,0,CLIC
1971-09-04,0,CLIC
1971-09-05,0,CLIC
1971-09-06,0,CLIC
1971-09-07,0,CLIC
1971-09-08,0,CLIC
1971-09-09,8,CLIC
1971-09-10,60,CLIC
1971-09-11,50,CLIC
1971-09-12,50,CLIC
1971-09-13,0,CLIC
1971-09-14,0,CLIC
1971-09-15,0,CLIC
1971-09-16,0,CLIC
1971-09-17,0,CLIC
1971-09-18,35,CLIC
1971-09-19,0,CLIC
1971-09-20,0,CLIC
1971-09-21,6,CLIC
1971-09-22,45,CLIC
1971-09-23,45,CLIC
1971-09-24,0,CLIC
1971-09-25,31,CLIC
1971-09-26,39,CLIC
1971-09-27,0,CLIC
1971-09-28,35,CLIC
1971-09-29,36,CLIC
1971-09-30,0,CLIC
1971-11-01,0,CLIC
1971-11-02,0,CLIC
1971-11-03,0,CLIC
1971-11-04,0,CLIC
1971-11-05,0,CLIC
1971-11-06,26,CLIC
1971-11-07,0,CLIC
1971-11-08,0,CLIC
1971-11-09,0,CLIC
1971-11-10,0,CLIC
1971-11-11,0,CLIC
1971-11-12,0,CLIC
1971-11-13,0,CLIC
1971-11-14,0,CLIC
1971-11-15,0,CLIC
1971-11-16,0,CLIC
1971-11-17,0,CLIC
1971-11-18,0,CLIC
1971-11-19,0,CLIC
1971-11-20,0,CLIC
1971-11-21,0,CLIC
1971-11-22,0,CLIC
1971-11-23,6,CLIC
1971-11-24,8,CLIC
1971-11-25,0,CLIC
1971-11-26,0,CLIC
1971-11-27,0,CLIC
1971-11-28,0,CLIC
1971-11-29,0,CLIC
1971-11-30,0,CLIC
1971-12-01,0,CLIC
1971-12-02,12,CLIC
1971-12-03,0,CLIC
1971-12-04,0,CLIC
1971-12-05,0,CLIC
1971-12-06,0,CLIC
1971-12-07,0,CLIC
1971-12-08,0,CLIC
1971-12-09,0,CLIC
1971-12-10,0,CLIC
1971-12-11,0,CLIC
1971-12-12,0,CLIC
1971-12-13,0,CLIC
1971-12-14,0,CLIC
1971-12-15,0,CLIC
1971-12-16,0,CLIC
1971-12-17,0,CLIC
1971-12-18,0,CLIC
1971-12-19,0,CLIC
1971-12-20,0,CLIC
1971-12-21,0,CLIC
1971-12-22,0,CLIC
1971-12-23,0,CLIC
1971-12-24,0,CLIC
1971-12-25,0,CLIC
1971-12-26,0,CLIC
1971-12-27,0,CLIC
1971-12-28,0,CLIC
1971-12-29,0,CLIC
1971-12-30,0,CLIC
1971-12-31,0,CLIC
1972-01-01,0,CLIC
1972-01-02,0,CLIC
1972-01-03,0,CLIC
1972-01-04,0,CLIC
1972-01-05,0,CLIC
1972-01-06,0,CLIC
1972-01-07,0,CLIC
1972-01-08,0,CLIC
1972-01-09,0,CLIC
1972-01-10,0,CLIC
1972-01-11,0,CLIC
1972-01-12,0,CLIC
1972-01-13,0,CLIC
1972-01-14,0,CLIC
1972-01-15,45.8,CLIC
1972-01-16,0,CLIC
1972-01-17,0,CLIC
1972-01-18,0,CLIC
1972-01-19,0,CLIC
1972-01-20,0,CLIC
1972-01-21,0,CLIC
1972-01-22,0,CLIC
1972-01-23,0,CLIC
1972-01-24,0,CLIC
1972-01-25,0,CLIC
1972-01-26,0,CLIC
1972-01-27,5,CLIC
1972-01-28,0,CLIC
1972-01-29,0,CLIC
1972-01-30,0,CLIC
1972-01-31,0,CLIC
1972-02-01,0,CLIC
1972-02-02,0,CLIC
1972-02-03,0,CLIC
1972-02-04,0,CLIC
1972-02-05,0,CLIC
1972-02-06,0,CLIC
1972-02-07,0,CLIC
1972-02-08,0,CLIC
1972-02-09,0,CLIC
1972-02-10,8,CLIC
1972-02-11,0,CLIC
1972-02-12,0,CLIC
1972-02-13,0,CLIC
1972-02-14,0,CLIC
1972-02-15,4,CLIC
1972-02-16,0,CLIC
1972-02-17,0,CLIC
1972-02-18,0,CLIC
1972-02-19,0,CLIC
1972-02-20,0,CLIC
1972-02-21,0,CLIC
1972-02-22,0,CLIC
1972-02-23,0,CLIC
1972-02-24,0,CLIC
1972-02-25,0,CLIC
1972-02-26,0,CLIC
1972-02-27,0,CLIC
1972-02-28,10,CLIC
1972-02-29,0,CLIC
1972-03-01,0,CLIC
1972-03-02,0,CLIC
1972-03-03,0,CLIC
1972-03-04,0,CLIC
1972-03-05,0,CLIC
1972-03-06,0,CLIC
1972-03-07,0,CLIC
1972-03-08,0,CLIC
1972-03-09,0,CLIC
1972-03-10,10,CLIC
1972-03-11,0,CLIC
1972-03-12,0,CLIC
1972-03-13,16,CLIC
1972-03-14,6,CLIC
1972-03-15,0,CLIC
1972-03-16,0,CLIC
1972-03-17,0,CLIC
1972-03-18,0,CLIC
1972-03-19,0,CLIC
1972-03-20,0,CLIC
1972-03-21,0,CLIC
1972-03-22,0,CLIC
1972-03-23,0,CLIC
1972-03-24,0,CLIC
1972-03-25,0,CLIC
1972-03-26,32,CLIC
1972-03-27,0,CLIC
1972-03-28,0,CLIC
1972-03-29,0,CLIC
1972-03-30,0,CLIC
1972-03-31,0,CLIC
1972-04-01,0,CLIC
1972-04-02,0,CLIC
1972-04-03,0,CLIC
1972-04-04,0,CLIC
1972-04-05,0,CLIC
1972-04-06,0,CLIC
1972-04-07,0,CLIC
1972-04-08,0,CLIC
1972-04-09,0,CLIC
1972-04-10,14,CLIC
1972-04-11,0,CLIC
1972-04-12,0,CLIC
1972-04-13,0,CLIC
1972-04-14,0,CLIC
1972-04-15,0,CLIC
1972-04-16,0,CLIC
1972-04-17,0,CLIC
1972-04-18,0,CLIC
1972-04-19,0,CLIC
1972-04-20,0,CLIC
1972-04-21,0,CLIC
1972-04-22,0,CLIC
1972-04-23,0,CLIC
1972-04-24,0,CLIC
1972-04-25,5,CLIC
1972-04-26,25,CLIC
1972-04-27,0,CLIC
1972-04-28,1,CLIC
1972-04-29,0,CLIC
1972-04-30,0,CLIC
1972-05-01,5,CLIC
1972-05-02,0,CLIC
1972-05-03,18,CLIC
1972-05-04,0,CLIC
1972-05-05,7,CLIC
1972-05-06,2,CLIC
1972-05-07,0,CLIC
1972-05-08,0,CLIC
1972-05-09,15,CLIC
1972-05-10,37,CLIC
1972-05-11,0,CLIC
1972-05-12,0,CLIC
1972-05-13,0,CLIC
1972-05-14,17,CLIC
1972-05-15,23,CLIC
1972-05-16,0,CLIC
1972-05-17,0,CLIC
1972-05-18,0,CLIC
1972-05-19,0,CLIC
1972-05-20,0,CLIC
1972-05-21,0,CLIC
1972-05-22,0,CLIC
1972-05-23,0,CLIC
1972-05-24,0,CLIC
1972-05-25,0,CLIC
1972-05-26,0,CLIC
1972-05-27,0,CLIC
1972-05-28,0,CLIC
1972-05-29,0,CLIC
1972-05-30,12,CLIC
1972-05-31,17,CLIC
1972-06-01,9,CLIC
1972-06-02,5,CLIC
1972-06-03,0,CLIC
1972-06-04,0,CLIC
1972-06-05,0,CLIC
1972-06-06,0,CLIC
1972-06-07,12,CLIC
1972-06-08,0,CLIC
1972-06-09,38,CLIC
1972-06-10,13,CLIC
1972-06-11,0,CLIC
1972-06-12,15,CLIC
1972-06-13,27,CLIC
1972-06-14,8,CLIC
1972-06-15,0,CLIC
1972-06-16,0,CLIC
1972-06-17,0,CLIC
1972-06-18,43,CLIC
1972-06-19,6,CLIC
1972-06-20,0,CLIC
1972-06-21,0,CLIC
1972-06-22,0,CLIC
1972-06-23,0,CLIC
1972-06-24,0,CLIC
1972-06-25,0,CLIC
1972-06-26,0,CLIC
1972-06-27,0,CLIC
1972-06-28,0,CLIC
1972-06-29,0,CLIC
1972-06-30,0,CLIC
1972-07-01,0,CLIC
1972-07-02,0,CLIC
1972-07-03,0,CLIC
1972-07-04,0,CLIC
1972-07-05,0,CLIC
1972-07-06,0,CLIC
1972-07-07,0,CLIC
1972-07-08,0,CLIC
1972-07-09,0,CLIC
1972-07-10,0,CLIC
1972-07-11,0,CLIC
1972-07-12,0,CLIC
1972-07-13,0,CLIC
1972-07-14,0,CLIC
1972-07-15,0,CLIC
1972-07-16,0,CLIC
1972-07-17,26,CLIC
1972-07-18,0,CLIC
1972-07-19,0,CLIC
1972-07-20,0,CLIC
1972-07-21,0,CLIC
1972-07-22,44,CLIC
1972-07-23,44,CLIC
1972-07-24,0,CLIC
1972-07-25,19,CLIC
1972-07-26,0,CLIC
1972-07-27,0,CLIC
1972-07-28,0,CLIC
1972-07-29,0,CLIC
1972-07-30,0,CLIC
1972-07-31,0,CLIC
1972-08-01,0,CLIC
1972-08-02,0,CLIC
1972-08-03,0,CLIC
1972-08-04,0,CLIC
1972-08-05,0,CLIC
1972-08-06,0,CLIC
1972-08-07,0,CLIC
1972-08-08,0,CLIC
1972-08-09,0,CLIC
1972-08-10,0,CLIC
1972-08-11,0,CLIC
1972-08-12,25,CLIC
1972-08-13,0,CLIC
1972-08-14,0,CLIC
1972-08-15,0,CLIC
1972-08-16,0,CLIC
1972-08-17,0,CLIC
1972-08-18,0,CLIC
1972-08-19,0,CLIC
1972-08-20,0,CLIC
1972-08-21,5,CLIC
1972-08-22,0,CLIC
1972-08-23,0,CLIC
1972-08-24,0,CLIC
1972-08-25,0,CLIC
1972-08-26,0,CLIC
1972-08-27,0,CLIC
1972-08-28,0,CLIC
1972-08-29,0,CLIC
1972-08-30,0,CLIC
1972-08-31,0,CLIC
1972-09-01,0,CLIC
1972-09-02,0,CLIC
1972-09-03,0,CLIC
1972-09-04,6,CLIC
1972-09-05,0,CLIC
1972-09-06,0,CLIC
1972-09-07,0,CLIC
1972-09-08,0,CLIC
1972-09-09,23,CLIC
1972-09-10,26,CLIC
1972-09-11,0,CLIC
1972-09-12,14,CLIC
1972-09-13,7,CLIC
1972-09-14,0,CLIC
1972-09-15,0,CLIC
1972-09-16,0,CLIC
1972-09-17,0,CLIC
1972-09-18,0,CLIC
1972-09-19,0,CLIC
1972-09-20,0,CLIC
1972-09-21,0,CLIC
1972-09-22,71,CLIC
1972-09-23,0,CLIC
1972-09-24,0,CLIC
1972-09-25,0,CLIC
1972-09-26,0,CLIC
1972-09-27,28,CLIC
1972-09-28,0,CLIC
1972-09-29,0,CLIC
1972-09-30,0,CLIC
1972-10-01,0,CLIC
1972-10-02,0,CLIC
1972-10-03,0,CLIC
1972-10-04,0,CLIC
1972-10-05,0,CLIC
1972-10-06,0,CLIC
1972-10-07,56,CLIC
1972-10-08,0,CLIC
1972-10-09,8,CLIC
1972-10-10,0,CLIC
1972-10-11,0,CLIC
1972-10-12,10,CLIC
1972-10-13,0,CLIC
1972-10-14,0,CLIC
1972-10-15,15,CLIC
1972-10-16,0,CLIC
1972-10-17,0,CLIC
1972-10-18,0,CLIC
1972-10-19,0,CLIC
1972-10-20,12,CLIC
1972-10-21,0,CLIC
1972-10-22,9,CLIC
1972-10-23,1,CLIC
1972-10-24,0,CLIC
1972-10-25,0,CLIC
1972-10-26,0,CLIC
1972-10-27,0,CLIC
1972-10-28,7,CLIC
1972-10-29,0,CLIC
1972-10-30,0,CLIC
1972-10-31,0,CLIC
1972-11-01,0,CLIC
1972-11-02,0,CLIC
1972-11-03,0,CLIC
1972-11-04,0,CLIC
1972-11-05,0,CLIC
1972-11-06,0,CLIC
1972-11-07,0,CLIC
1972-11-08,0,CLIC
1972-11-09,0,CLIC
1972-11-10,0,CLIC
1972-11-11,0,CLIC
1972-11-12,0,CLIC
1972-11-13,0,CLIC
